,תחנה,מקבץ,מיקום,גודל,
,נהריה,1,עירוני,גדול,
,כרמיאל,2,פרברי,בינוני,
,אחיהוד,2,פרברי,קטן,
,עכו,3,עירוני,בינוני,
,סביוני ים,3,פרברי,בינוני,
,עכו מזרח,3,עירוני,בינוני,
,קריית מוצקין,4,עירוני,בינוני,
,קריית  חיים,4,עירוני,קטן,
,חוצות המפרץ,4,עירוני,קטן,
,לב המפרץ,5,פרברי,גדול,
,חוף הכרמל,5,פרברי,בינוני,
,חיפה  מרכז,5,עירוני,בינוני,
,לב המפרץ מזרח,5,פרברי,בינוני,
,חיפה  בת-גלים,5,עירוני,קטן,
,עפולה,6,פרברי,בינוני,
,כפר ברוך,6,פרברי,בינוני,
,בית שאן,6,פרברי,בינוני,
,כפר יהושע,6,פרברי,קטן,
,בנימינה / אור עקיבא,7,פרברי,בינוני,
,זיכרון יעקב,7,פרברי,בינוני,
,חדרה,8,פרברי,גדול,
,קיסריה,8,פרברי,בינוני,
,נתניה,9,פרברי,גדול,
,נתניה ספיר,9,פרברי,בינוני,
,בית יהושע,9,פרברי,בינוני,
,המכללות,9,פרברי,בינוני,
,עתלית,10,עירוני,קטן,
,הרצליה,11,פרברי,בינוני,
,גלילות דרום,11,עירוני,קטן,
,גלילות צפון,11,פרברי,קטן,
,רעננה מערב,12,עירוני,בינוני,
,שפיים,12,פרברי,קטן,
,הוד השרון,13,עירוני,קטן,
,צומת רעננה,13,פרברי,קטן,
,כפר סבא,13,עירוני,קטן,
,אחיטוב,14,פרברי,קטן,
,חדרה מזרח,14,פרברי,קטן,
,טייבה,15,פרברי,בינוני,
,טירה,15,פרברי,קטן,
,כפרסבא צפון,15,פרברי,בינוני,
,ראש העין צפון,16,פרברי,קטן,
,ראש העין דרום,16,פרברי,קטן,
,אלעד,16,פרברי,בינוני,
,פתח-תקווה סגולה ,17,פרברי,בינוני,
,קרית אריה,17,פרברי,קטן,
,בני-ברק ,18,פרברי,קטן,
,"נתב""ג",19,פרברי,בינוני,
,תעופה,19,פרברי,קטן,
,תל-אביב השלום ,20,עירוני,גדול,
,תל-אביב הגנה ,20,עירוני,גדול,
,תל אביב מרכז,20,עירוני,בינוני,
,תל-אביב אוניברסיטה,20,עירוני,קטן,
,בת-ים יוספטל ,21,עירוני,בינוני,
,צומת חולון,21,פרברי,קטן,
,חולון וולפסון,21,עירוני,קטן,
,בת-ים הקוממיות,21,עירוני,קטן,
,ראשון-לציון משה דיין,22,עירוני,בינוני,
,ראשון לציון- הראשונים,22,פרברי,קטן,
,מעוין שורק,22,פרברי,קטן,
,רמלה,23,עירוני,קטן,
,רחבעם,23,פרברי,בינוני,
,רמלה דרום,23,פרברי,בינוני,
,לוד גני אביב,24,עירוני,בינוני,
,באר יעקב,24,עירוני,בינוני,
,לוד,24,עירוני,קטן,
,רחובות,25,עירוני,בינוני,
,יבנה מזרח,26,פרברי,בינוני,
,יבנה מערב,26,פרברי,בינוני,
,אשדוד,27,פרברי,גדול,
,אשדוד בני דרום,27,פרברי,קטן,
,אשקלון,28,פרברי,גדול,
,מודיעין מרכז,29,עירוני,גדול,
,פאתי מודיעין,29,פרברי,בינוני,
,"כפר חב""ד",30,פרברי,קטן,
,שפירים,30,פרברי,בינוני,
,בנייני האומה,31,עירוני,גדול,
,ירושלים מרכז,31,עירוני,גדול,
,ירושלים מלחה,32,עירוני,קטן,
,ירושלים גן חיות,32,פרברי,קטן,
,בית שמש,33,פרברי,גדול,
,כפר מנחם,34,פרברי,קטן,
,מזכרת בתיה,34,פרברי,קטן,
,קריית גת,35,פרברי,בינוני,
,להבים,36,פרברי,גדול,
,אופקים,37,פרברי,בינוני,
,שדרות,37,פרברי,בינוני,
,נתיבות,37,פרברי,קטן,
,דימונה,38,פרברי,קטן,
,"ב""ש מרכז",39,עירוני,גדול,
,"ב""ש צפון",39,פרברי,גדול,
